scientific_name,name
Alophoixus flaveolus,キバラカンムリヒヨドリ
Alophoixus frater,ハイノドカンムリヒヨドリ
Alophoixus ochraceus,シロハラカンムリヒヨドリ
Alophoixus pallidus,ノドジロカンムリヒヨドリ
Alophoixus phaeocephalus,ハイガシラアゴカンムリヒヨドリ
Alopochelidon fucata,キツネツバメ
Alopochen aegyptiaca,エジプトガン
Alopochen kervazoi,レユニオンツクシガモ
Alopochen mauritiana,モーリシャスツクシガモ
Amadina erythrocephala,オオイッコウチョウ
Amadina fasciata,イッコウチョウ
Amalocichla incerta,ヒメパプアヤマツグミ
Amalocichla sclateriana,パプアヤマツグミ
Amandava amandava,ベニスズメ
Amandava formosa,シマキンカ
Amandava subflava,シマベニスズメ
Amaurolimnas concolor,チャバラクイナ
Amaurornis isabellina,チャバラバンクイナ
Amaurornis magnirostris,タラウドバンクイナ
Amaurornis moluccana,バンクイナ
Amaurornis olivacea,フィリピンバンクイナ
Amaurornis phoenicurus,シロハラクイナ
Amaurospiza carrizalensis,カリザルシコンコメワリ
Amaurospiza concolor,シコンコメワリ
Amaurospiza moesta,ノドグロシコンコメワリ
Amazilia luciae,ホンジュラスエメラルドハチドリ
Amazilia rutila,ニッケイハチドリ
Amazilia tzacatl,ハイバラエメラルドハチドリ
Amazilia yucatanensis,アカハシエメラルドハチドリ
Amazilis amazilia,チャムネエメラルドハチドリ
Amazona aestiva,アオボウシインコ
Amazona agilis,ハシグロボウシインコ
Amazona albifrons,コボウシインコ
Amazona amazonica,キソデボウシインコ
Amazona arausiaca,アカノドボウシインコ
Amazona auropalliata,キエリボウシインコ
Amazona autumnalis,キホオボウシインコ
Amazona barbadensis,キボウシインコ
Amazona brasiliensis,アカオボウシインコ
Amazona collaria,エリマキボウシインコ
Amazona dufresniana,キガオボウシインコ
Amazona farinosa,ムジボウシインコ
Amazona festiva,ムラサキボウシインコ
Amazona finschi,フジイロボウシインコ
Amazona guildingii,オウボウシインコ
Amazona imperialis,ミカドボウシインコ
Amazona kawalli,カワルボウシインコ
Amazona leucocephala,サクラボウシインコ
Amazona mercenarius,ネズミエリボウシインコ
Amazona ochrocephala,キビタイボウシインコ
Amazona oratrix,キガシラボウシインコ
Amazona pretrei,アカソデボウシインコ
Amazona rhodocorytha,アカマユボウシインコ
Amazona tucumana,カラカネボウシインコ
Amazona ventralis,ミミグロボウシインコ
Amazona versicolor,イロマジリボウシインコ
Amazona vinacea,ブドウイロボウシインコ
Amazona viridigenalis,メキシコアカボウシインコ
